"Formula","N","N_Trees","Mean Effect","SD Effect","SE Estimate Effect","SE2 Estimate Effect","N_Nulls"
"2*x+e","100","50","2.0064","0.5055","0.4755","0.4917","105"
"2*x+e","200","50","2.0208","0.4818","0.5026","0.5369","147"
"2*x+e","500","50","2.0125","0.4495","0.624","0.6804","207"
"2*x+e","100","100","2.0076","0.5092","0.4499","0.452","12"
"2*x+e","200","100","2.0049","0.4635","0.4486","0.4592","54"
"2*x+e","500","100","2.0041","0.4432","0.467","0.4976","138"
"2*x+e","100","200","1.9886","0.5329","0.4474","0.4457","0"
"2*x+e","200","200","2.0014","0.4656","0.4534","0.4549","4"
"2*x+e","500","200","1.9823","0.4345","0.464","0.4705","23"
"2*x+e","100","500","1.9973","0.4753","0.4424","0.4391","0"
"2*x+e","200","500","2.0178","0.4449","0.4517","0.4506","0"
"2*x+e","500","500","1.9999","0.4381","0.4436","0.4438","2"
"2*-x^2+e","100","50","0.0126","0.5843","0.4893","0.4978","72"
"2*-x^2+e","200","50","0.0124","0.5173","0.5213","0.5412","143"
"2*-x^2+e","500","50","-0.0036","0.4688","0.6236","0.676","221"
"2*-x^2+e","100","100","0.025","0.5668","0.4537","0.4539","26"
"2*-x^2+e","200","100","-0.0259","0.5031","0.46","0.4705","44"
"2*-x^2+e","500","100","0.0095","0.453","0.48","0.5063","146"
"2*-x^2+e","100","200","-0.0088","0.5653","0.4549","0.455","0"
"2*-x^2+e","200","200","-0.0201","0.5236","0.455","0.4563","3"
"2*-x^2+e","500","200","-0.0374","0.4398","0.4602","0.4688","29"
"2*-x^2+e","100","500","0.0282","0.6017","0.4694","0.4665","0"
"2*-x^2+e","200","500","0.0095","0.4918","0.4534","0.4527","0"
"2*-x^2+e","500","500","0.0238","0.4683","0.4516","0.4518","0"
"3*sqrt(abs(x))+3*x+e","100","50","3.0084","0.616","0.4897","0.5043","91"
"3*sqrt(abs(x))+3*x+e","200","50","3.0124","0.5075","0.5169","0.5419","142"
"3*sqrt(abs(x))+3*x+e","500","50","3.0105","0.4833","0.6134","0.6627","198"
"3*sqrt(abs(x))+3*x+e","100","100","2.9998","0.6219","0.4592","0.4612","11"
"3*sqrt(abs(x))+3*x+e","200","100","2.9871","0.515","0.4573","0.4678","49"
"3*sqrt(abs(x))+3*x+e","500","100","2.9971","0.4769","0.4829","0.5068","138"
"3*sqrt(abs(x))+3*x+e","100","200","2.9892","0.6165","0.4731","0.4688","0"
"3*sqrt(abs(x))+3*x+e","200","200","2.9738","0.5277","0.4628","0.4648","3"
"3*sqrt(abs(x))+3*x+e","500","200","3.007","0.4567","0.4512","0.459","34"
"3*sqrt(abs(x))+3*x+e","100","500","2.9886","0.6077","0.4683","0.4642","0"
"3*sqrt(abs(x))+3*x+e","200","500","2.9807","0.517","0.4469","0.4446","0"
"3*sqrt(abs(x))+3*x+e","500","500","2.9915","0.4572","0.4538","0.4536","0"
